ÿ33,-363.77,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
29.85,0.00,334.62,-363.02,-0.18,-0.00,-0.00,-0.00
29.77,0.00,333.33,-363.77,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
29.85,0.00,334.62,-363.02,-0.18,-0.00,-0.00,-0.00
29.77,0.00,333.33,-363.77,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
29.85,0.00,334.62,-363Time, Throttle, Clutch, Brake, Gear, Right RPM, Right Velocity, Left RPM, Left Velocity, Left Accel X, Left Accel Y, Left Accel Z, Right Accel X, Right Accel Y, Right Accel Z
0.12,0.00,460.26,-233.33,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.19,0.00,453.85,-236.23,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.27,0.00,442.31,-244.93,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.35,0.00,432.05,-256.52,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.43,0.00,424.36,-265.22,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.51,0.00,415.38,-273.91,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.59,0.00,408.97,-281.16,0.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.67,0.00,401.28,-289.86,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.75,0.00,394.87,-295.65,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.83,0.00,389.74,-301.45,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.90,0.00,383.33,-308.70,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
0.98,0.00,378.21,-313.04,2.00,0.00,0.00,0.06,-0.02,-0.18,-0.00,-0.00,-0.00
